Obs_Num,Rayyan ID,Study_Author,Study_Num,Test,Test_Num,TargetBoundaryGrade,Threshold,Threshold_Num,Denom_sens_n,Denom_spe,Sens,Spe,TP,FN,FP,TN,NMA
1,872438886,Mikolasevic 2021,1,TE,1,F1,6.7,2,143,NA,0.7483,0.9167,107,36,NA,NA,1
2,872438886,Mikolasevic 2021,1,TE,1,F2,8.1,4,88,NA,0.8523,0.9121,75,13,NA,NA,1
3,872438886,Mikolasevic 2021,1,TE,1,F3,10,6,43,NA,0.9767,0.9265,42,1,NA,NA,1
4,872438886,Mikolasevic 2021,1,TE,1,F4,13.4,6,19,NA,0.9474,0.9937,18,1,NA,NA,0
5,872438886,Mikolasevic 2021,1,TE,1,F1,4.43,1,143,NA,0.9,0.1667,129,14,NA,NA,0
6,872438886,Mikolasevic 2021,1,TE,1,F2,5.8,1,88,NA,0.9,0.4703,79,9,NA,NA,0
7,872438886,Mikolasevic 2021,1,TE,1,F3,10.6,6,43,NA,0.9,0.9632,39,4,NA,NA,0
8,872438886,Mikolasevic 2021,1,TE,1,F4,13.9,6,19,NA,0.9,0.9937,17,2,NA,NA,0
9,872438886,Mikolasevic 2021,1,TE,1,F1,8.06,4,143,NA,0.7566,0.9,108,35,NA,NA,0
10,872438886,Mikolasevic 2021,1,TE,1,F2,8.06,4,88,NA,0.8523,0.9,75,13,NA,NA,0
11,872438886,Mikolasevic 2021,1,TE,1,F3,9.47,5,43,NA,0.998,0.9,43,0,NA,NA,0
12,872438886,Mikolasevic 2021,1,TE,1,F4,11.8,6,19,NA,0.9474,0.9,18,1,NA,NA,0
13,872438905,Loong 2017,2,TE,1,F2,5.8,1,69,146,0.928,0.418,64,5,85,61,1
14,872438905,Loong 2017,2,TE,1,F2,9,5,69,146,0.652,0.877,45,24,18,128,1
15,872438905,Loong 2017,2,TE,1,F3,7.9,3,43,172,0.977,0.762,42,1,41,131,1
16,872438905,Loong 2017,2,TE,1,F3,9.6,5,43,172,0.837,0.866,36,7,23,149,1
17,872438913,Troelstra 2021,3,MRE,2,F3,2.3,1,7,28,1,0.786,7,0,6,22,1
18,872438913,Troelstra 2021,3,TE,1,F3,9.9,5,8,29,0.875,0.69,7,1,9,20,1
19,872438948,Leong 2020,4,TE,1,F1,7.68,3,84,16,0.833,0.813,70,14,3,13,1
20,872438948,Leong 2020,4,TE,1,F2,9.13,5,41,59,0.878,0.661,36,5,20,39,1
21,872438948,Leong 2020,4,TE,1,F3,9.28,5,33,67,0.909,0.642,30,3,24,43,1
22,872438948,Leong 2020,4,TE,1,F4,13.45,7,4,96,1,0.76,4,0,23,73,0
23,872438948,Leong 2020,4,pSWE,3,F1,6.83,2,84,16,0.655,0.813,55,29,3,13,1
24,872438948,Leong 2020,4,pSWE,3,F2,6.98,2,41,59,0.756,0.61,31,10,23,36,1
25,872438948,Leong 2020,4,pSWE,3,F3,7.02,2,33,67,0.758,0.582,25,8,28,39,1
26,872438948,Leong 2020,4,pSWE,3,F4,11.52,4,4,96,0.75,0.927,3,1,7,89,0
27,872439023,Cassinotto 2016,5,TE,1,F2,6.2,2,156,67,0.9,0.45,141,15,37,30,0
28,872439023,Cassinotto 2016,5,TE,1,F2,9.8,5,156,67,0.6,0.9,93,63,7,60,0
29,872439023,Cassinotto 2016,5,TE,1,F3,8.2,4,92,131,0.9,0.61,83,9,51,80,0
30,872439023,Cassinotto 2016,5,TE,1,F3,12.5,7,92,131,0.57,0.9,52,40,13,118,0
31,872439023,Cassinotto 2016,5,TE,1,F4,9.5,5,37,186,0.92,0.62,34,3,70,116,0
32,872439023,Cassinotto 2016,5,TE,1,F4,16.1,7,37,186,0.65,0.9,24,13,18,168,0
33,872439023,Cassinotto 2016,5,pSWE,3,F2,2.71,1,160,76,0.9,0.407894737,144,16,45,31,0
34,872439023,Cassinotto 2016,5,pSWE,3,F2,5.23,1,160,76,0.56,0.91,90,70,7,69,0
35,872439023,Cassinotto 2016,5,pSWE,3,F3,3.97,1,93,143,0.9,0.63,84,9,53,90,0
36,872439023,Cassinotto 2016,5,pSWE,3,F3,7.02,2,93,143,0.59,0.9,55,38,15,128,0
37,872439023,Cassinotto 2016,5,pSWE,3,F4,5.07,1,39,197,0.9,0.67,35,4,65,132,0
38,872439023,Cassinotto 2016,5,pSWE,3,F4,12.48,4,39,197,0.44,0.9,17,22,20,177,0
39,872439023,Cassinotto 2016,5,2D-SWE,4,F2,6.3,2,164,68,0.9,0.5,148,16,34,34,0
40,872439023,Cassinotto 2016,5,2D-SWE,4,F2,8.7,3,164,68,0.71,0.9,116,48,7,61,0
41,872439023,Cassinotto 2016,5,2D-SWE,4,F3,8.3,3,100,132,0.91,0.71,91,9,39,93,0
42,872439023,Cassinotto 2016,5,2D-SWE,4,F3,10.7,4,100,132,0.71,0.9,71,29,13,119,0
43,872439023,Cassinotto 2016,5,2D-SWE,4,F4,10.5,4,38,194,0.9,0.72,34,4,55,139,0
44,872439023,Cassinotto 2016,5,2D-SWE,4,F4,14.4,4,38,194,0.58,0.9,22,16,20,174,0
45,872439018,Mendoza 2022,6,TE,1,F2,8.2,4,79,23,0.83,0.62,66,13,9,14,1
46,872439018,Mendoza 2022,6,TE,1,F3,9.7,5,44,58,0.73,0.53,32,12,27,31,1
47,872439018,Mendoza 2022,6,TE,1,F4,13.6,7,8,94,0.87,0.77,7,1,22,72,0
48,872439018,Mendoza 2022,6,2D-SWE,4,F2,7.1,2,65,23,0.86,0.73,56,9,6,17,1
49,872439018,Mendoza 2022,6,2D-SWE,4,F3,9.2,3,36,52,0.65,0.86,23,13,7,45,1
50,872439018,Mendoza 2022,6,2D-SWE,4,F4,13,4,6,82,0.83,0.87,5,1,11,71,0
51,872438960,Argalia 2022,7,TE,1,F1,5.2,1,29,21,0.8966,0.6667,26,3,7,14,1
52,872438960,Argalia 2022,7,TE,1,F2,5.3,1,23,27,0.9565,0.6296,22,1,10,17,1
53,872438960,Argalia 2022,7,TE,1,F3,8.75,4,8,42,0.875,0.8571,7,1,6,36,1
54,872438960,Argalia 2022,7,TE,1,F4,14.6,7,2,48,1,0.9792,2,0,1,47,0
55,872438960,Argalia 2022,7,pSWE,3,F1,4.23,1,29,21,0.8276,0.5714,24,5,9,12,1
56,872438960,Argalia 2022,7,pSWE,3,F2,4.63,1,23,27,0.7391,0.6296,17,6,10,17,1
57,872438960,Argalia 2022,7,pSWE,3,F3,7.39,2,8,42,0.875,0.881,7,1,5,37,1
58,872438960,Argalia 2022,7,pSWE,3,F4,14.2,4,2,48,1,1,2,0,0,48,0
59,872439015,Trowell 2021,9,TE,1,F3,11.9,6,34,58,0.853,0.69,29,5,18,40,1
60,872439015,Trowell 2021,9,TE,1,F4,14.4,7,22,70,0.9091,0.771,20,2,16,54,0
61,872439066,Chan 2015,10,TE,1,F1,5.6,1,70,31,0.9,0.419,63,7,18,13,1
62,872439066,Chan 2015,10,TE,1,F2,6.65,2,25,76,1,0.447,25,0,42,34,1
63,872439066,Chan 2015,10,TE,1,F3,8,4,19,82,0.947,0.659,18,1,28,54,1
64,872439066,Chan 2015,10,TE,1,F4,17,7,3,98,1,0.939,3,0,6,92,0
65,872439195,Sugimoto 2020,11,2D-SWE,4,F1,5.31,1,90,21,0.64,0.9,58,32,2,19,1
66,872439195,Sugimoto 2020,11,2D-SWE,4,F2,5.88,1,55,56,0.75,0.86,41,14,8,48,1
67,872439195,Sugimoto 2020,11,2D-SWE,4,F3,5.88,1,40,71,0.85,0.79,34,6,15,56,1
68,872439195,Sugimoto 2020,11,2D-SWE,4,F4,7.21,2,15,96,1,0.82,15,0,17,79,0
69,872439079,Labenz 2018,13,TE,1,F3,12,7,21,105,0.48,0.87,10,11,14,91,1
70,872439079,Labenz 2018,13,TE,1,F3,8,4,21,105,0.91,0.7,19,2,31,74,1
71,872439079,Labenz 2018,13,TE,1,F3,9,5,21,105,0.81,0.74,17,4,27,78,1
72,872439079,Labenz 2018,13,TE,1,F3,10,6,21,105,0.76,0.8,16,5,21,84,1
73,872439079,Labenz 2018,13,TE,1,F3,11,6,21,105,0.52,0.83,11,10,18,87,1
74,872439119,Kuroda 2021,15,2D-SWE,4,F1,6.43,2,131,71,0.832,0.659,109,22,24,47,1
75,872439119,Kuroda 2021,15,2D-SWE,4,F2,7.25,2,87,115,0.874,0.689,76,11,36,79,1
76,872439119,Kuroda 2021,15,2D-SWE,4,F3,8.409,3,55,147,0.875,0.759,48,7,35,112,1
77,872439119,Kuroda 2021,15,2D-SWE,4,F4,10.047,4,27,175,0.889,0.826,24,3,30,145,0
78,872439119,Kuroda 2021,15,TE,1,F1,7.672,3,131,71,0.595,0.791,78,53,15,56,1
79,872439119,Kuroda 2021,15,TE,1,F2,9.921,5,87,115,0.649,0.747,56,31,29,86,1
80,872439119,Kuroda 2021,15,TE,1,F3,11.892,6,55,147,0.893,0.745,49,6,37,110,1
81,872439119,Kuroda 2021,15,TE,1,F4,14.864,7,27,175,0.926,0.734,25,2,47,128,0
82,872439116,Tovo 2019,16,TE,1,F3,7.9,3,20,84,0.95,0.583,19,1,35,49,1
83,872439116,Tovo 2019,16,TE,1,F3,8.7,4,20,84,0.9,0.643,18,2,30,54,0
84,872439116,Tovo 2019,16,TE,1,F3,9.6,5,20,84,0.85,0.69,17,3,26,58,1
85,872439160,Shi 2020,17,TE,1,F1,7.5,3,131,27,0.7099,0.8889,93,38,3,24,1
86,872439160,Shi 2020,17,TE,1,F2,8.5,4,89,69,0.8427,0.8551,75,14,10,59,1
87,872439160,Shi 2020,17,TE,1,F3,10.8,6,54,104,0.833,0.837,45,9,17,87,1
88,872439160,Shi 2020,17,TE,1,F4,13.1,7,26,132,0.8846,0.8258,23,3,23,109,0
89,872439027,Taibbi 2021,18,TE,1,F2,7.9,3,27,19,0.63,0.632,17,10,7,12,1
90,872439027,Taibbi 2021,18,TE,1,F3,8.5,4,18,28,0.778,0.786,14,4,6,22,1
91,872439027,Taibbi 2021,18,pSWE,3,F2,8.4,3,27,19,0.74,0.737,20,7,5,14,1
92,872439027,Taibbi 2021,18,pSWE,3,F3,9.1,3,18,28,0.722,0.785,13,5,6,22,1
93,872439177,Lee 2022,19,TE,1,F2,8.7,4,81,170,0.778,0.724,63,18,47,123,1
94,872439177,Lee 2022,19,TE,1,F3,9.8,5,47,204,0.957,0.794,45,2,42,162,1
95,872439177,Lee 2022,19,TE,1,F4,15.7,7,14,237,0.929,0.92,13,1,19,218,0
96,872439075,Lup_or 2010,20,TE,1,F1,5.3,1,46,23,0.9348,0.7826,43,3,5,18,1
97,872439075,Lup_or 2010,20,TE,1,F2,6.8,2,18,51,0.6667,0.8431,12,6,8,43,1
98,872439075,Lup_or 2010,20,TE,1,F3,10.4,6,5,64,1,0.9687,5,0,2,62,1
99,872439082,Lee 2017,21,TE,1,F2,7.4,3,39,36,0.625,0.917,24,15,3,33,1
100,872439082,Lee 2017,21,TE,1,F3,8,4,23,52,0.826,0.849,19,4,8,44,1
101,872439082,Lee 2017,21,TE,1,F4,10.8,6,12,63,0.917,0.812,11,1,12,51,0
102,872439082,Lee 2017,21,TE,1,F3,11.7,6,23,52,0.609,0.9,14,9,5,47,0
103,872439082,Lee 2017,21,TE,1,F4,11.7,6,12,63,0.75,0.9,9,3,6,57,0
104,872439082,Lee 2017,21,pSWE,3,F2,5.47,1,38,45,0.462,0.932,18,20,3,42,1
105,872439082,Lee 2017,21,pSWE,3,F3,6.13,2,20,63,0.7,0.937,14,6,4,59,1
106,872439082,Lee 2017,21,pSWE,3,F4,6.75,2,8,75,0.75,0.907,6,2,7,68,0
107,872439082,Lee 2017,21,pSWE,3,F2,4.99,1,38,45,0.487,0.9,19,19,4,41,0
108,872439082,Lee 2017,21,pSWE,3,F3,5.55,1,20,63,0.905,0.9,18,2,6,57,0
109,872439082,Lee 2017,21,pSWE,3,F4,6.75,2,8,75,0.75,0.9,6,2,7,68,0
110,872439082,Lee 2017,21,2D-SWE,4,F2,8.3,3,31,38,0.871,0.553,27,4,17,21,1
111,872439082,Lee 2017,21,2D-SWE,4,F3,10.7,4,20,49,0.9,0.612,18,2,19,30,1
112,872439082,Lee 2017,21,2D-SWE,4,F4,15.1,4,10,59,0.9,0.78,9,1,13,46,0
113,872439082,Lee 2017,21,2D-SWE,4,F2,20.5,4,31,38,0.29,0.9,9,22,4,34,0
114,872439082,Lee 2017,21,2D-SWE,4,F3,23.2,4,20,49,0.35,0.9,7,13,5,44,0
115,872439082,Lee 2017,21,2D-SWE,4,F4,23.2,4,10,59,0.6,0.9,6,4,6,53,0
116,872439053,Kim 2020,22,MRE,2,F1,2.58,1,33,14,0.97,1,32,1,0,14,1
117,872439053,Kim 2020,22,MRE,2,F2,3.13,2,20,27,0.97,1,19,1,0,27,1
118,872439053,Kim 2020,22,MRE,2,F3,4.34,3,8,39,1,0.923,8,0,3,36,1
119,872439074,Mahadeva 2013,24,TE,1,F2,6.65,2,71,49,0.676,0.568,48,23,21,28,1
120,872439074,Mahadeva 2013,24,TE,1,F2,6.75,2,71,49,0.662,0.596,47,24,20,29,1
121,872439074,Mahadeva 2013,24,TE,1,F2,6.85,2,71,49,0.588,0.692,42,29,15,34,1
122,872439074,Mahadeva 2013,24,TE,1,F3,6.95,2,27,93,0.704,0.645,19,8,33,60,1
123,872439074,Mahadeva 2013,24,TE,1,F3,7.1,3,27,93,0.704,0.666,19,8,31,62,1
124,872439074,Mahadeva 2013,24,TE,1,F3,7.25,3,27,93,0.667,0.677,18,9,30,63,1
125,872439074,Mahadeva 2013,24,TE,1,F4,10.6,6,8,112,0.875,0.884,7,1,13,99,0
126,872439074,Mahadeva 2013,24,TE,1,F4,11.3,6,8,112,0.875,0.893,7,1,12,100,0
127,872439074,Mahadeva 2013,24,TE,1,F4,11.95,6,8,112,0.75,0.912,6,2,10,102,0